Al-Fatihah,7
Al-Baqarah,286
Ali Imran,200
An-Nisa,176
Al-Maidah,120
Al-An’am,165
Al-A’raf,206
Al-Anfal,75
At-Taubah,129
Yunus,109
Hud,123
Yusuf,111
Ar-Ra’d,43
Ibrahim,52
Al-Hijr,99
An-Nahl,128
Al-Isra,111
Al-Kahfi,110
Maryam,98
Taha,135
Al-Anbiya’,112
Al-Hajj,78
Al-Mu’minun,118
An-Nur,64
Al-Furqon,77
As-Syuara’,227
An-Naml,63
Al-Qasas,88
Al-Ankabut,69
Ar-Rum,60
Luqman,34
As-Sajdah,30
Al-Ahzab,73
Saba’,54
Fathir,45
Yasin,83
As-Shafat,182
Shad,88
Az-Zumar,75
Al-Mu’min,85
Fushilat,54
As-Syura,53
Az-Zukhruf,89
Ad-Dukhan,59
Al-Jatsiyah,37
Al-Ahqaf,35
Muhammad,38
Al-Fath,29
Al-Hujurat,18
Qaf,45
Ad-Dzariyat,60
At-Thur,49
An-Najm,62
Al-Qamar,55
Ar-Rahman,78
Al-Waqiah,96
Al-Hadid,29
Al-Mujadalah,22
Al-Hasr,24
Al-Mumtahanah,13
As-Shaf,14
Al-Jumuah,11
Al-Munafiqun,11
Alt-Taghobun,18
At-Talaq,12
At-Tahrim,12
Al-Mulk,30
Al-Qalam,52
Al-Haqah,52
Al-Ma’arij,44
Nuh,28
Al-Jin,28
Al-Muzammil,20
Al-Mudatsir,56
Al-Qiyamah,40
Al-Insan,31
Al-Mursalat,50
An-Naba’,40
An-Naziat,46
Abasa,42
At-Takwir,29
Al-Infithar,19
Al-Mutafifin,36
Al-Insiqaq,35
Al-Buruj,22
At-Tariq,17
Al-A’la,19
Al-Ghasiyah,26
Al-Fajr,30
Al-Balad,20
As-Syams,15
Al-Lail,21
Ad-Dhuha,11
Alam Nasrah,8
At-Tin,8
A-Alaq,19
Al-Qadr,5
Al-Bayyinah,8
Az-Zilzalah,8
Al-Adiyat,11
Al-Qariah,11
At-Takatsur,8
Al-Asr,3
Al-Humazah,9
Al-Fil,5
Al-Quraisy,4
Al-Maun,7
Al-Kautsar,3
Al-Kafirun,6
An-Nasr,3
Al-Lahab,5
Al-Ikhlas,4
Al-Falaq,5
An-Nas,6
